TF
MAP3K2-DT
FAM76A
CLYBL
LY6G5C
MFNG
PLA2G15
GSTO2
ALMS1
ARVCF
AGRN
HIP1R
ENSG00000273893
C2orf49-DT
HSPD1
MRPL57
LYRM2
IL15RA
CARD8-AS1
POPDC2
ATF6-DT
ARL6IP1
PCNX3
CIAO1
GUK1
PDGFC
MSH2
RBM10
ENSG00000286018
CEP97
DEPDC1
ENSG00000255031
AGPAT5
MAGED4B
ENSG00000283696
CAMSAP2
CLPTM1
CAMK1D
KIF21A
ABTB1
BCAP31
CDK18
PWWP2A
ENSG00000274427
C3orf52
CFAP69
ENSG00000296299
ATP8B2
EPOP
LPAR2
BTF3L4
KCNG1
HSPA13
HIGD1A
ENSG00000260563
PILRA
GTF3C6
MRPS34
ELK1
ENSG00000261641
IWS1
CFAP263
HNRNPH3
ENSG00000296880
MSH3
ENSG00000296142
MVB12B
MYL6
NEBL
ENSG00000299654
PHGDH
ENSG00000288012
FGR
ENSG00000289701
BIRC5
DMPK
CRNDE
PRANCR
CELSR2
DHRS4
ENSG00000285043
NANS
NDUFB2
KCTD1
ENSG00000290839
PTPN2
ACBD4
ARFGEF1
CTCF-DT
BCL2L1
CCNO
FBXO41
PPP2R3C
GTF2A1
LAGE3
PLEKHG6
ENSG00000291154
HEY1
ENSG00000267317
LRFN4
ENSG00000284657
PMPCB
POLDIP2
ATF7IP2
PDGFA
AURKC
HPCAL1
PDE4A
GSK3B-DT
ENSG00000230074
NT5C
NBPF9
CCNT2
RAB20
IL4R
AMOTL1
KCTD21-AS1
RAB1A
CYRIB
ENSG00000287780
NSA2
BSG-AS1
CNPY4
ERVK3-1
FKBP11
EEF1AKMT4
PSMG3-AS1
NMNAT1
PTGS2
MB21D2
EPHA1-AS1
MORN2
ANP32B
ATXN7L1
METTL27
ENSG00000295208
ENSG00000269983
PGD
PHLPP2
ITGA1
IGBP1
CLIC3
PPP1R14B-AS1
MFSD14CP
DDX6
PSMC5
ENSG00000271452
RBPMS2
ENSG00000289885
CLNS1A
MCPH1-AS1
ACP6
RAB30
LINC02585
MARVELD1
MAP3K20
COL5A1
BICDL2
GZMB
NPIPB3
ENSG00000293143
ARL4C
PREPL
ENSG00000288913
NFATC1
ENSG00000283103
CLEC7A
LOXL3
PLEKHA3
CHD7
EDRF1-DT
CYTH4
FEZ1
AZIN2
CARM1
COQ5
KDR
CNBD2
BCL9L
RAB2A
PALLD
ERH
ENSG00000281181
FUT11
MRTFB
ENSG00000253174
PSMD9
BCAP29
AKR1C1
CCZ1
EIF4ENIF1
DMAC2L
PPT2-EGFL8
CNST
DBNDD1
MAP3K7CL
LMNTD2
NUDT1
DMAP1
ENSG00000303579
CST3
ANKRD26
FHIP2B
CHUK
EIF6
CUL1
KNTC1
ADAM10
EVA1B
ENSG00000300114
HAUS5
PRKAG1
ITGA2
PPP1R7
FOXA1
MRAS
ERAP2
MXD4
DOP1A
PLA2G2A
MOCOS
ENSG00000248636
FAM217B
IL6ST
JTB-DT
KATNB1
MZT1
RAPH1
RALY-AS1
C3orf33
ENSG00000262160
BEX3
CATSPER2P1
LINC02967
CABYR
BIN3
POLR1F
MED19
EXOC5
ABCB9
ENSG00000290574
PBX4
CDA
KCNE3
IDH3B
DUSP14
CRBN
ENSG00000310238
NCF4
H1-0
MRPL34
AGPAT2
LINC01226
B4GAT1-DT
MILR1
LGALS8
ENSG00000310534
NFATC2IP-AS1
PTBP3
NXF1
NMNAT3
ENSG00000275765
KLHL23
ENO2
BOD1
ENSG00000298529
LAMA4
MECOM
ENSG00000271754
ACTR3B
AGAP12P
PSMB4
HOXA11-AS
MPND
P4HB
RELCH
CMC2
NBPF8
ENSG00000300580
FDPS
PFDN6
BACH1
ENSG00000298933
MRPS12
KLHL9
ENSG00000289273
NARF
PPARG
HAT1
BECN1
CENPM
CEP57
DHRS12
B3GALT4
KIF2C
ENSG00000299580
DENND6B
GMNN
IPO8
LINC03124
EPAS1
NUCKS1
ENSG00000285725
ENSG00000258634
EFNA4
CMIP
MST1
LARP7
PARAIL
ESCO2
FIP1L1
CHRAC1
NGLY1
NSD2
DPY19L1
NAT14
GMPPA
EFEMP1
ABHD3
ENSG00000309168
PARP14
HNRNPA1
NR1H3
ITGB5
CCDC71L
PNISR-AS1
PSMC6
LINC01964
PSMA2
IDH2
PTK2
GLIPR2
ENSG00000306339
ANKRD13B
CENPS
NAP1L1
ENSG00000267007
RBM22
PER2
ENSG00000305589
ANXA7
NCK1-DT
NAA80
FBXO21
EFCAB7
PPP2R2D
DHRS13
PITPNB
PCMTD2
FAM229B
ERCC6L2-AS1
DMXL2
PTCD2
FAM133B
CABLES1
PMM1
PDGFRA
DCAF16
ENSG00000289339
BHLHE40
KSR1
PANX1
MAD2L1
ADAP2
POU2F1
PIN4
MAMDC4
CIB1
BBOF1
C11orf58
BIK
HSD17B4
ELAC1
LSG1
PCYT2
IFRD1
BPGM
EMC1
LRRC8C
NAALADL1
INPPL1
HCN3
FAM120AOS
ANXA3
GABPB1-IT1
LMAN2
ENSG00000264578
PIK3CD
PABIR2
CHD4
NDUFAF5
PYCARD
RAD54B
HCAR2
LDHD
LFNG
CD63
HIVEP1
FOXO1
ARMCX6
CHN2
